time,lat1,lon1,lat2,lon2,received_rssi,received_snr
1718404777,47.53565979003906,-122.2965851,47.51250611,-122.3329719,-111,-4.0
1718404770,47.53443908691406,-122.2957077,47.51250611,-122.3329719,-97,6.199999809265137
1718404758,47.53165817260742,-122.2942734,47.51250611,-122.3329719,-104,2.200000047683716
1718404751,47.52998733520508,-122.2934875,47.51250611,-122.3329719,-95,8.199999809265137
1718404738,47.52702713012695,-122.2922516,47.51250611,-122.3329719,-91,8.800000190734863
1718404731,47.52537536621094,-122.2916565,47.51250611,-122.3329719,-94,5.199999809265137
1718404712,47.520729064941406,-122.290062,47.51250611,-122.3329719,-105,2.5
1718404635,47.50154113769531,-122.2759247,47.51250611,-122.3329719,-116,-5.5
1718405302,47.56114196777344,-122.3214493,47.56667388,-122.3880659,-118,-9.0
1718405269,47.55995559692383,-122.3213577,47.56667388,-122.3880659,-119,-11.0
1718405250,47.55895233154297,-122.3210831,47.56667388,-122.3880659,-108,-1.0
1718405225,47.55760574,-122.3204498,47.56667388,-122.3880659,-117,-8.5
1718405411,47.567115783691406,-122.3204041,47.56667388,-122.3880659,-121,-6.0
1718405430,47.56781768798828,-122.3202896,47.56667388,-122.3880659,-115,-6.0
1718405436,47.56808090209961,-122.3202515,47.56667388,-122.3880659,-113,-6.0
1718405461,47.56927108764648,-122.3200607,47.56667388,-122.3880659,-119,-11.80000019
1718405474,47.569923400878906,-122.3199844,47.56667388,-122.3880659,-115,-4.199999809
1718405551,47.574485778808594,-122.3196945,47.56667388,-122.3880659,-115,-7.0
1718405161,47.55448532104492,-122.3183517,47.56667388,-122.3880659,-114,-7.5
1718404815,47.54248809814453,-122.3041916,47.56667388,-122.3880659,-114,-10.19999981
1718409228,47.61487961,-122.3300934,47.57321906,-122.3131096,-130,-15.19999981
1718405903,47.60689163208008,-122.3290329,47.57321906,-122.3131096,-123,-10.0
1718405853,47.601863861083984,-122.324379,47.57321906,-122.3131096,-125,-11.0
1718405839,47.60083008,-122.3231125,47.57321906,-122.3131096,-121,-6.0
1718405807,47.59829330444336,-122.3205185,47.57321906,-122.3131096,-129,-14.5
1718405692,47.58501815795898,-122.3199158,47.57321906,-122.3131096,-121,-8.800000191
1718405903,47.60689163208008,-122.3290329,47.60568154,-122.3377061,-120,-11.80000019
1718409279,47.615142822265625,-122.3303146,47.61922143,-122.3343769,-116,-9.800000191
1718409273,47.61495971679688,-122.3301468,47.61922143,-122.3343769,-112,-6.5
1718409235,47.61487961,-122.3300934,47.61922143,-122.3343769,-113,-8.199999809
1718409196,47.61457824707031,-122.3298645,47.61922143,-122.3343769,-106,-1.5
1718409170,47.61344909667969,-122.3288345,47.61922143,-122.3343769,-110,-5.199999809
1718409132,47.61333084106445,-122.3287277,47.61922143,-122.3343769,-113,-8.199999809
1718409363,47.62766647338867,-122.3278198,47.61922143,-122.3343769,-116,-10.80000019
1718409068,47.61099624633789,-122.3264923,47.61922143,-122.3343769,-116,-10.0
1718409376,47.63017272949219,-122.3258209,47.61922143,-122.3343769,-115,-7.0
1718409549,47.629981994628906,-122.3253326,47.61922143,-122.3343769,-121,-13.80000019
1718409556,47.62999344,-122.3253098,47.61922143,-122.3343769,-118,-11.5
1718409446,47.63084030151367,-122.3244095,47.61922143,-122.3343769,-114,-9.0
1718409350,47.62496566772461,-122.3281097,47.63239987,-122.3580725,-115,-8.800000191
1718409338,47.62217712402344,-122.3280411,47.63239987,-122.3580725,-117,-4.199999809
1718409575,47.63001251220703,-122.3253098,47.63239987,-122.3580725,-119,-10.80000019
1718409536,47.63008499145508,-122.3251419,47.63239987,-122.3580725,-117,-9.0
1718409434,47.63205337524414,-122.3238297,47.63239987,-122.3580725,-117,-13.0
1718409408,47.63437271118164,-122.3225327,47.63239987,-122.3580725,-118,-8.800000191
1718405219,47.55717849731445,-122.3201675,47.63239987,-122.3580725,-120,-16.20000076
1718404501,47.46828842163086,-122.2676468,47.4692100571904,-122.2627786,-97,4.199999809265137
1718405219,47.55717849731445,-122.3201675,47.47742889862316,-122.2729254,-125,-13.19999981
1718405186,47.55550003051758,-122.3190002,47.47742889862316,-122.2729254,-122,-11.0
1718405180,47.55522918701172,-122.3188171,47.47742889862316,-122.2729254,-123,-10.80000019
1718404904,47.54683303833008,-122.3090286,47.47742889862316,-122.2729254,-124,-11.5
1718404892,47.54663848876953,-122.308754,47.47742889862316,-122.2729254,-127,-15.19999981
1718404758,47.53165817260742,-122.2942734,47.47742889862316,-122.2729254,-126,-14.5
1718404539,47.47925949,-122.2716522,47.47742889862316,-122.2729254,-91,9.199999809265137
1718404527,47.47575759887695,-122.2701035,47.47742889862316,-122.2729254,-78,8.0
1718404604,47.49457931518555,-122.268158,47.47742889862316,-122.2729254,-107,3.0
1718404572,47.48751068115234,-122.2655334,47.47922825256919,-122.2755239,-112,-12.0
1718404578,47.48869323730469,-122.2646103,47.47922825256919,-122.2755239,-116,-12.5
1718404597,47.49308013916016,-122.266304,47.48246753182033,-122.3026061,-120,-11.0
1718404578,47.48869323730469,-122.2646103,47.48246753182033,-122.3026061,-114,1.5
1718404585,47.49031448364258,-122.2643127,47.48246753182033,-122.3026061,-119,-9.800000191
1718404635,47.50154113769531,-122.2759247,47.483502760264805,-122.2944739,-108,4.5
1718404539,47.47925949,-122.2716522,47.486512396667486,-122.2613808,-112,-13.5
1718404687,47.514644622802734,-122.2865677,47.48658127785595,-122.3209864,-125,-13.80000019
1718404616,47.4970932006836,-122.2712097,47.48674955681023,-122.2576521,-116,-11.0
1718404546,47.48139953613281,-122.2715149,47.48901674264493,-122.2619576,-118,-6.5
1718404616,47.4970932006836,-122.2712097,47.48901674264493,-122.2619576,-126,-13.80000019
