time,sent_lat,sent_lon,hotspot_lat,hotspot_lon,received_rssi,received_snr
1718314910,37.77806473,-122.4012451,37.77889788,-122.4042526,-97,7
1718315014,37.78004074,-122.3987122,37.77889788,-122.4042526,-96,6.199999809265137
1718314782,37.7767334,-122.4036636,37.78082865,-122.4012122,-108,-2.200000048
1718314903,37.77796555,-122.401413,37.78082865,-122.4012122,-97,2.200000047683716
1718304155,37.78845215,-122.3882523,37.78082865,-122.4012122,-118,-10
1718305396,37.78125,-122.4490738,37.78163285,-122.4564505,-122,-10
1718305615,37.78126144,-122.4489746,37.78163285,-122.4564505,-131,-17
1718305627,37.78126144,-122.4489746,37.78163285,-122.4564505,-124,-10.80000019
1718305640,37.78126144,-122.448967,37.78163285,-122.4564505,-123,-10.19999981
1718305653,37.78126144,-122.448967,37.78163285,-122.4564505,-125,-13
1718305672,37.78126144,-122.448967,37.78163285,-122.4564505,-125,-12.19999981
1718305692,37.78126144,-122.448967,37.78163285,-122.4564505,-130,-15.5
1718305698,37.78126144,-122.448967,37.78163285,-122.4564505,-129,-15.80000019
1718305730,37.78126144,-122.448967,37.78163285,-122.4564505,-130,-14.80000019
1718305749,37.78126144,-122.448967,37.78163285,-122.4564505,-125,-11.5
1718305755,37.78126144,-122.448967,37.78163285,-122.4564505,-127,-14.19999981
1718305775,37.78126144,-122.448967,37.78163285,-122.4564505,-126,-13.5
1718305794,37.78126144,-122.448967,37.78163285,-122.4564505,-123,-9.800000191
1718305800,37.78126144,-122.448967,37.78163285,-122.4564505,-125,-11.5
1718305832,37.78126144,-122.448967,37.78163285,-122.4564505,-124,-11.19999981
1718305838,37.78126144,-122.448967,37.78163285,-122.4564505,-128,-14.5
1718305851,37.78126144,-122.448967,37.78163285,-122.4564505,-123,-10
1718305909,37.78126144,-122.4489594,37.78163285,-122.4564505,-125,-12.19999981
1718305934,37.78126144,-122.4489594,37.78163285,-122.4564505,-129,-15.5
1718306037,37.78125,-122.4489517,37.78163285,-122.4564505,-127,-13.5
1718306057,37.78125,-122.4489441,37.78163285,-122.4564505,-123,-8.5
1718306063,37.78125,-122.4489441,37.78163285,-122.4564505,-122,-9.199999809
1718306069,37.78125,-122.4489441,37.78163285,-122.4564505,-123,-12
1718305300,37.78123856,-122.4489212,37.78163285,-122.4564505,-127,-15.19999981
1718305275,37.78125,-122.4489059,37.78163285,-122.4564505,-127,-13.80000019
1718305185,37.78076172,-122.4474945,37.78163285,-122.4564505,-115,-1.5
1718240454,37.76793289,-122.2198944,37.7835821,-122.1723135,-107,-3.799999952
1718314641,37.77442551,-122.4061127,37.78937976,-122.3914636,-111,-8
1718314449,37.77112961,-122.4058914,37.78937976,-122.3914636,-111,-7.5
1718303893,37.80994797,-122.3651352,37.78937976,-122.3914636,-122,-13.19999981
1718314577,37.77259445,-122.4065552,37.79121019,-122.4115742,-119,-8.800000191
1718314641,37.77442551,-122.4061127,37.79121019,-122.4115742,-117,-3.5
1718314334,37.77026367,-122.4054565,37.79121019,-122.4115742,-119,-7.800000191
1718315525,37.80712891,-122.3684082,37.79484023,-122.4145128,-123,-7.800000191
1718238027,37.59410477,-122.0575485,37.79849414,-122.0499117,-110,5.800000190734863
1718303809,37.81237793,-122.362793,37.81842906,-122.2722855,-117,-3
1718316044,37.83666992,-122.295929,37.81842906,-122.2722855,-120,-8.5
1718315640,37.81982422,-122.3434067,37.82017054,-122.1953589,-118,-9.800000191
1718240973,37.77293777,-122.2269745,37.82017054,-122.1953589,-123,-15.19999981
1718316242,37.84874344,-122.2986984,37.84231404,-122.2969219,-90,7.5
1718302919,37.84434891,-122.2980423,37.84231404,-122.2969219,-83,8
1718315998,37.83447266,-122.2946472,37.84231404,-122.2969219,-98,1
1718302561,37.86853027,-122.2979355,37.87025605,-122.2971071,-86,9
1718302592,37.86732101,-122.3013077,37.87522071,-122.3022775,-112,1.2000000476837158
1718241665,37.85435867,-122.3001404,37.87522071,-122.3022775,-125,-11.19999981
1718314238,37.7689209,-122.4079437,37.88547216,-122.2494427,-115,-6.5
1718316786,37.91160965,-122.317276,37.88547216,-122.2494427,-111,0.20000000298023224
1718316728,37.90833664,-122.3157349,37.88547216,-122.2494427,-121,-13.5
1718303310,37.82481766,-122.3139801,37.88547216,-122.2494427,-113,-9.5
1718241864,37.87366867,-122.3019028,37.88547216,-122.2494427,-117,-8
1718316242,37.84874344,-122.2986984,37.88547216,-122.2494427,-113,-3.200000048
1718315787,37.82678223,-122.2976608,37.88547216,-122.2494427,-118,-8
1718303713,37.82019043,-122.343132,37.90668583,-122.2742987,-101,3
1718303688,37.82128906,-122.3356781,37.90668583,-122.2742987,-108,-4.800000191
1718303630,37.82274246,-122.3219452,37.90668583,-122.2742987,-106,-4
1718316786,37.91160965,-122.317276,37.90668583,-122.2742987,-114,-6.5
1718316728,37.90833664,-122.3157349,37.90668583,-122.2742987,-115,-14.19999981
1718241307,37.80846024,-122.3045349,37.90668583,-122.2742987,-114,-7.199999809
1718302592,37.86732101,-122.3013077,37.90668583,-122.2742987,-100,3.799999952316284
1718303656,37.82226563,-122.3271408,37.91006064,-122.2944622,-98,5.800000190734863
1718316728,37.90833664,-122.3157349,37.91006064,-122.2944622,-106,-3.799999952
1718303130,37.82493973,-122.3129425,37.91006064,-122.2944622,-110,-5.5
1718316582,37.89515305,-122.3079758,37.91006064,-122.2944622,-114,-3.200000048
1718316267,37.85130692,-122.2992935,37.91006064,-122.2944622,-115,-8.5
1718316242,37.84874344,-122.2986984,37.91006064,-122.2944622,-116,-10.80000019
1718302919,37.84434891,-122.2980423,37.91006064,-122.2944622,-106,-6.800000191
1718316991,37.93383789,-122.3265839,37.93866361,-122.323206,-110,1.2000000476837158
1718317760,37.99256516,-122.3060837,37.99722941,-122.2754448,-117,-7.5
1718317792,37.99304199,-122.3040085,37.99722941,-122.2754448,-118,-10.80000019
1718317817,37.99353027,-122.3005447,37.99722941,-122.2754448,-110,-3.200000048
1718317754,37.99255371,-122.3061295,38.00265035,-122.3081099,-114,3
1718318279,38.06628418,-122.2256699,38.06660459,-122.2218341,-116,-6
1718318234,38.05601883,-122.224762,38.06660459,-122.2218341,-111,-2.5
1718318765,38.16247559,-122.209404,38.16140985,-122.2609287,-114,-7.199999809
1718319476,38.24523926,-122.0799713,38.24403925,-122.0683464,-109,-2.5
1718319527,38.24720383,-122.0747986,38.24403925,-122.0683464,-106,2
